Aggie Robotics Parts List,,,,,,
Item,Unit Price,Quantity,Total Price,Purchase Link,Priority,Function
Header Pins,$0.50,50,$25.00,https://www.adafruit.com/product/3002,7,Electrical prototyping
DC Motor,$1.76,50,$88.00,https://www.adafruit.com/product/711,7,Robotics prototyping
Spacer/Standoff Screw Sets,$12.97,2,$25.94,http://amzn.to/2yL21qw,7,Electrical prototyping
Weller SP25NKUS,$20.20,10,$202.00,http://bit.ly/2xFIaZx,8,Electrical prototyping
Solder Sucker,$4.50,10,$45.00,https://www.adafruit.com/product/148,8,Electrical prototyping
Dymo Label Printer,$10.68,1,$10.68,http://amzn.to/2k6Pqe4,9,General Use
DC Power Supply,$79.99,2,$159.98,http://amzn.to/2x04v79,10,Electrical prototyping
Function Generator,$318.89,1,$318.89,http://amzn.to/2xBRS1v,10,Electrical prototyping
Digtial Oscilloscope,$379.00,2,$758.00,http://amzn.to/2fCwv9o,10,Electrical prototyping
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,Total Price,$17496.65,,,
